,rating,reviews,price,country,bathrooms,beds,guests,toiles,bedrooms,studios,checkin,checkout,amenities_list,amenities_count,region,bathroom_shared,bathroom_private,toilet_only,no_rating
699,5.0,9,3.6407517210909464,India,1.5,1,2,0,1,0,After 1 00 pm,11 00 am,"['City skyline view', 'Mountain view', 'Beach access – Beachfront', 'Kitchen', 'Wifi', 'Free on-street parking', 'Lift', 'Free washer – In unit']",8,Maharashtra,0,0,0,0
700,4.8,5,3.250187680793085,India,1.0,2,4,0,1,0,3 00 pm - 8 00 pm,10 00 am,"['Public or shared beach access', 'Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'Paid washing machine', 'Air conditioning', 'Private patio or balcony']",8,Goa,0,0,0,0
701,5.0,7,5.368056947130155,United States,2.0,2,4,0,2,0,After 3 00 pm,11 00 am,"['Kitchen', 'Wifi', 'Free parking on premises', 'Pool', 'TV', 'Washing machine', 'Air conditioning', 'Refrigerator', 'Long-term stays allowed']",9,South Carolina,0,0,0,0
702,4.68,102,3.085000138902353,India,1.0,2,5,0,2,0,3 00 pm - 8 00 pm,11 00 am,"['Public or shared beach access', 'Kitchen', 'Wifi', 'Dedicated workspace', 'Free on-street parking', 'Washing machine', 'Patio or balcony', 'Luggage drop-off allowed']",8,Goa,0,0,0,0
703,,0,4.02535169073515,India,1.0,1,2,0,1,0,After 3 00 pm,Unknown,"['Kitchen', 'Wifi – 34 Mbps', 'Dedicated workspace', 'Free parking on premises', 'Free washer – In unit', 'AC – split-type ductless system', 'Bath', 'Luggage drop-off allowed']",8,Maharashtra,0,1,0,1
704,4.91,162,3.1051808074095266,India,4.0,4,8,0,4,0,After 8 00 am,7 00 am,"['Kitchen', 'Wifi', 'TV with standard cable/satellite', 'Air conditioning', 'Patio or balcony', 'Refrigerator', 'Smoking allowed', 'Long-term stays allowed']",8,Odisha,0,0,0,0
705,4.67,15,2.9482364520844144,India,1.5,1,2,0,1,0,1 00 pm - 8 00 pm,11 00 am,"['Courtyard view', 'Garden view', 'Beach access – Beachfront', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'Pets allowed', 'Security cameras on property']",8,Goa,0,0,0,0
706,4.92,97,3.3967699242385927,India,1.0,1,2,0,1,0,10 00 am - 12 00 pm,12 00 pm,"['Beach access – Beachfront', 'Kitchen', 'Wifi', 'Free parking on premises', 'Lift', 'Window AC unit', 'Patio or balcony', 'Garden']",8,Andhra Pradesh,0,1,0,0
707,4.95,22,5.620357211891976,India,2.0,2,6,0,2,0,After 2 00 pm,11 00 am,"['Garden view', 'Public or shared beach access – Beachfront', 'Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises – 5 spaces', 'Private pool – available all year', 'Pets allowed']",8,Maharashtra,0,0,0,0
708,4.77,30,5.084542442873461,India,2.0,5,4,0,2,0,12 00 pm - 5 00 pm,11 00 am,"['Sea view', 'Marina view', 'Beach access – Beachfront', 'Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'Pool']",8,MH,0,0,0,0
709,,0,7.6966013918118055,India,6.0,8,14,0,7,0,Unknown,Unknown,"['Wifi', 'Dedicated workspace', 'Free parking on premises', 'Pool', 'Hot tub', 'TV', 'Washing machine', 'Air conditioning']",8,Maharashtra,0,0,0,1
710,4.83,12,3.74367564234358,India,2.0,2,4,0,2,0,After 12 00 pm,10 00 am,"['Kitchen', 'Free parking on premises', 'Shared pool', 'TV', 'Air conditioning', 'Long-term stays allowed']",6,Andhra Pradesh,0,0,0,0
711,,0,6.870503710128373,India,4.0,4,10,0,4,0,Unknown,Unknown,"['Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'Pool', 'TV', 'Air conditioning', 'Long-term stays allowed']",8,Maharashtra,0,0,0,1
712,,0,3.6407517210909464,India,1.0,1,2,0,1,0,Unknown,Unknown,"['Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'Pool', 'Pets allowed', 'TV', 'Washing machine', 'Dryer', 'Security cameras on property']",10,Goa,0,1,0,1
713,4.74,43,4.244701479954776,India,1.0,3,4,0,1,0,After 2 00 pm,11 00 am,"['Kitchen', 'Wifi', 'Free on-street parking', 'TV', 'Washing machine', 'Air conditioning', 'Patio or balcony', 'Luggage drop-off allowed']",8,Maharashtra,0,1,0,0
714,4.87,90,3.74367564234358,India,2.0,1,2,0,1,0,After 11 00 am,11 00 am,"['City skyline view', 'Courtyard view', 'Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'Pets allowed', 'Free washer – In unit', 'Dryer']",9,Maharashtra,1,0,0,0
